"ReleaseVersion","ArtifactRole","InfRelativePath","Server","StaticAssessment","CanonicalStaticAssessment","SelectedHardwareIdCount","AsPublishedHardwareIdCount","ProjectionHardwareIdCount","RuntimeCompatibility"
"26.5.2","PolarisVega","d0_whql-amd-software-adrenalin-edition-26.5.2-win11-may-vega-polaris.exe_2e8755b69dde\Packages\Drivers\Display\WT6A_INF\amdxe\amdxe.inf","Windows Server 2022","NATIVE_CANDIDATE","NativeCandidate","1","1","1","NotEstablished"
"26.5.2","PolarisVega","d0_whql-amd-software-adrenalin-edition-26.5.2-win11-may-vega-polaris.exe_2e8755b69dde\Packages\Drivers\Display\WT6A_INF\amdxe\amdxe.inf","Windows Server 2025","NATIVE_CANDIDATE","NativeCandidate","1","1","1","NotEstablished"
"26.5.2","PolarisVega","d0_whql-amd-software-adrenalin-edition-26.5.2-win11-may-vega-polaris.exe_2e8755b69dde\Packages\Drivers\RadeonLED\WT64A\amdusbledfd.inf","Windows Server 2016","NATIVE_CANDIDATE","NativeCandidate","6","6","6","NotEstablished"
"26.5.2","PolarisVega","d0_whql-amd-software-adrenalin-edition-26.5.2-win11-may-vega-polaris.exe_2e8755b69dde\Packages\Drivers\RadeonLED\WT64A\amdusbledfd.inf","Windows Server 2019","NATIVE_CANDIDATE","NativeCandidate","6","6","6","NotEstablished"
"26.5.2","PolarisVega","d0_whql-amd-software-adrenalin-edition-26.5.2-win11-may-vega-polaris.exe_2e8755b69dde\Packages\Drivers\RadeonLED\WT64A\amdusbledfd.inf","Windows Server 2022","NATIVE_CANDIDATE","NativeCandidate","6","6","6","NotEstablished"
"26.5.2","PolarisVega","d0_whql-amd-software-adrenalin-edition-26.5.2-win11-may-vega-polaris.exe_2e8755b69dde\Packages\Drivers\RadeonLED\WT64A\amdusbledfd.inf","Windows Server 2025","NATIVE_CANDIDATE","NativeCandidate","6","6","6","NotEstablished"
"26.5.2","PolarisVega","d0_whql-amd-software-adrenalin-edition-26.5.2-win11-may-vega-polaris.exe_2e8755b69dde\Packages\Drivers\SBDrv\AMDUCSI\WT64A\amducsi.inf","Windows Server 2016","NATIVE_CANDIDATE","NativeCandidate","5","5","5","NotEstablished"
"26.5.2","PolarisVega","d0_whql-amd-software-adrenalin-edition-26.5.2-win11-may-vega-polaris.exe_2e8755b69dde\Packages\Drivers\SBDrv\AMDUCSI\WT64A\amducsi.inf","Windows Server 2019","NATIVE_CANDIDATE","NativeCandidate","5","5","5","NotEstablished"
"26.5.2","PolarisVega","d0_whql-amd-software-adrenalin-edition-26.5.2-win11-may-vega-polaris.exe_2e8755b69dde\Packages\Drivers\SBDrv\AMDUCSI\WT64A\amducsi.inf","Windows Server 2022","NATIVE_CANDIDATE","NativeCandidate","5","5","5","NotEstablished"
"26.5.2","PolarisVega","d0_whql-amd-software-adrenalin-edition-26.5.2-win11-may-vega-polaris.exe_2e8755b69dde\Packages\Drivers\SBDrv\AMDUCSI\WT64A\amducsi.inf","Windows Server 2025","NATIVE_CANDIDATE","NativeCandidate","5","5","5","NotEstablished"
"25.8.1","PolarisVega","d0_whql-amd-software-adrenalin-edition-25.8.1-win10-win11-aug-vega-polaris.exe_398a8ae8ca69\Packages\Drivers\Audio\ACPAfd\WT64A\amdacpafd.inf","Windows Server 2016","NOT_APPLICABLE","NotApplicable","0","0","0","NotEstablished"
"25.8.1","PolarisVega","d0_whql-amd-software-adrenalin-edition-25.8.1-win10-win11-aug-vega-polaris.exe_398a8ae8ca69\Packages\Drivers\Audio\ACPAfd\WT64A\amdacpafd.inf","Windows Server 2019","NATIVE_CANDIDATE","NativeCandidate","4","4","4","NotEstablished"
"25.8.1","PolarisVega","d0_whql-amd-software-adrenalin-edition-25.8.1-win10-win11-aug-vega-polaris.exe_398a8ae8ca69\Packages\Drivers\Audio\ACPAfd\WT64A\amdacpafd.inf","Windows Server 2022","NATIVE_CANDIDATE","NativeCandidate","4","4","4","NotEstablished"
"25.8.1","PolarisVega","d0_whql-amd-software-adrenalin-edition-25.8.1-win10-win11-aug-vega-polaris.exe_398a8ae8ca69\Packages\Drivers\Audio\ACPAfd\WT64A\amdacpafd.inf","Windows Server 2025","NATIVE_CANDIDATE","NativeCandidate","4","4","4","NotEstablished"
"25.8.1","PolarisVega","d0_whql-amd-software-adrenalin-edition-25.8.1-win10-win11-aug-vega-polaris.exe_398a8ae8ca69\Packages\Drivers\Audio\ACPBtAfd\WT64A\amdacpbt.inf","Windows Server 2016","NATIVE_CANDIDATE","NativeCandidate","1","1","1","NotEstablished"
"25.8.1","PolarisVega","d0_whql-amd-software-adrenalin-edition-25.8.1-win10-win11-aug-vega-polaris.exe_398a8ae8ca69\Packages\Drivers\Audio\ACPBtAfd\WT64A\amdacpbt.inf","Windows Server 2019","NATIVE_CANDIDATE","NativeCandidate","1","1","1","NotEstablished"
"25.8.1","PolarisVega","d0_whql-amd-software-adrenalin-edition-25.8.1-win10-win11-aug-vega-polaris.exe_398a8ae8ca69\Packages\Drivers\Audio\ACPBtAfd\WT64A\amdacpbt.inf","Windows Server 2022","NATIVE_CANDIDATE","NativeCandidate","1","1","1","NotEstablished"
"25.8.1","PolarisVega","d0_whql-amd-software-adrenalin-edition-25.8.1-win10-win11-aug-vega-polaris.exe_398a8ae8ca69\Packages\Drivers\Audio\ACPBtAfd\WT64A\amdacpbt.inf","Windows Server 2025","NATIVE_CANDIDATE","NativeCandidate","1","1","1","NotEstablished"
"25.8.1","PolarisVega","d0_whql-amd-software-adrenalin-edition-25.8.1-win10-win11-aug-vega-polaris.exe_398a8ae8ca69\Packages\Drivers\Audio\ACPBus\WT64A\amdacpbus.inf","Windows Server 2016","NOT_APPLICABLE","NotApplicable","0","0","0","NotEstablished"
"25.8.1","PolarisVega","d0_whql-amd-software-adrenalin-edition-25.8.1-win10-win11-aug-vega-polaris.exe_398a8ae8ca69\Packages\Drivers\Audio\ACPBus\WT64A\amdacpbus.inf","Windows Server 2019","NATIVE_CANDIDATE","NativeCandidate","7","7","7","NotEstablished"
"25.8.1","PolarisVega","d0_whql-amd-software-adrenalin-edition-25.8.1-win10-win11-aug-vega-polaris.exe_398a8ae8ca69\Packages\Drivers\Audio\ACPBus\WT64A\amdacpbus.inf","Windows Server 2022","NATIVE_CANDIDATE","NativeCandidate","7","7","7","NotEstablished"
"25.8.1","PolarisVega","d0_whql-amd-software-adrenalin-edition-25.8.1-win10-win11-aug-vega-polaris.exe_398a8ae8ca69\Packages\Drivers\Audio\ACPBus\WT64A\amdacpbus.inf","Windows Server 2025","NATIVE_CANDIDATE","NativeCandidate","7","7","7","NotEstablished"
"25.8.1","PolarisVega","d0_whql-amd-software-adrenalin-edition-25.8.1-win10-win11-aug-vega-polaris.exe_398a8ae8ca69\Packages\Drivers\Audio\ACPBus\WT64A\amdacpbusext\amdacpbusext.inf","Windows Server 2016","NOT_APPLICABLE","NotApplicable","0","0","0","NotEstablished"
"25.8.1","PolarisVega","d0_whql-amd-software-adrenalin-edition-25.8.1-win10-win11-aug-vega-polaris.exe_398a8ae8ca69\Packages\Drivers\Audio\ACPBus\WT64A\amdacpbusext\amdacpbusext.inf","Windows Server 2019","NATIVE_CANDIDATE","NativeCandidate","3","3","3","NotEstablished"
